id,global_order,chapter_order,chapter_id,chapter_title_en,chapter_title_th,event_order,event_id,event_title_en,event_title_th,map_order,map_name,map_period,location_name,dialogue_order,speaker,script_label,source_file,source_line,source_label,english_raw,english_preview,thai,translation_status,control_codes,placeholders,chronology_confidence,scope_confidence,translation_confidence,term_review,length_review,translation_notes
dlg_f3193871c666b294,91,06,slateport,Slateport and Mauville,ไคไนและคินเซ็ตสึ,18,museum,Slateport Museum,พิพิธภัณฑ์ไคไน,18,SlateportCity_OceanicMuseum_2F,museum,SlateportCity OceanicMuseum 2F,1,,SlateportCity_OceanicMuseum_2F_EventScript_CaptStern,data/maps/SlateportCity_OceanicMuseum_2F/scripts.inc,269,SlateportCity_OceanicMuseum_2F_Text_ThankYouForTheParts,"Yes? If you're looking for STERN,\nthat would be me.\pAh! Those must be the parts I ordered\nfrom MR. STONE of DEVON.\pThank you! That's great!\nWe can prepare for our expedition now.$","Yes? If you're looking for STERN,
that would be me.
[PAGE]
Ah! Those must be the parts I ordered
from MR. STONE of DEVON.
[PAGE]
Thank you! That's great!
We can prepare for our expedition now.",ครับ? ถ้าตามหากัปตันคุสโนกิ\nผมนี่แหละครับ\pอ๊ะ! นั่นต้องเป็นชิ้นส่วนที่ผมสั่ง\nจากประธานสึวาบุกิแห่งเดวอนแน่ ๆ\pขอบคุณครับ! เยี่ยมเลย!\nทีนี้ก็เตรียมออกสำรวจได้แล้ว$,draft_review,\n | \p | \n | \p | \n,,high,high,high,ok,ok,
dlg_bccdea658542d0e8,92,06,slateport,Slateport and Mauville,ไคไนและคินเซ็ตสึ,18,museum,Slateport Museum,พิพิธภัณฑ์ไคไน,18,SlateportCity_OceanicMuseum_2F,museum,SlateportCity OceanicMuseum 2F,2,,SlateportCity_OceanicMuseum_2F_EventScript_CaptStern,data/maps/SlateportCity_OceanicMuseum_2F/scripts.inc,277,SlateportCity_OceanicMuseum_2F_Text_WellTakeThoseParts,"Hehehe, hold it!\nWe'll take those parts!$","Hehehe, hold it!
We'll take those parts!",ฮี่ ๆ เดี๋ยวก่อน!\nชิ้นส่วนนั่นพวกเราขอละ!$,draft_review,\n,,high,high,high,ok,ok,
dlg_6c9bfdabbe559c34,93,06,slateport,Slateport and Mauville,ไคไนและคินเซ็ตสึ,18,museum,Slateport Museum,พิพิธภัณฑ์ไคไน,18,SlateportCity_OceanicMuseum_2F,museum,SlateportCity OceanicMuseum 2F,3,,SlateportCity_OceanicMuseum_2F_EventScript_CaptStern,data/maps/SlateportCity_OceanicMuseum_2F/scripts.inc,281,SlateportCity_OceanicMuseum_2F_Text_SternWhoAreYou,CAPT. STERN: Wh-what?\nWho are you people?$,"CAPT. STERN: Wh-what?
Who are you people?",กัปตันคุสโนกิ: อะ-อะไรนะ?\nพวกแกเป็นใคร?$,draft_review,\n,,high,high,high,ok,ok,
dlg_9758a7ae075cd9a8,94,06,slateport,Slateport and Mauville,ไคไนและคินเซ็ตสึ,18,museum,Slateport Museum,พิพิธภัณฑ์ไคไน,18,SlateportCity_OceanicMuseum_2F,museum,SlateportCity OceanicMuseum 2F,4,,SlateportCity_OceanicMuseum_2F_EventScript_CaptStern,data/maps/SlateportCity_OceanicMuseum_2F/scripts.inc,285,SlateportCity_OceanicMuseum_2F_Text_WereTeamAqua,We're TEAM AQUA!\pOur BOSS wants those parts!\nShut your yap and fork them over!$,"We're TEAM AQUA!
[PAGE]
Our BOSS wants those parts!
Shut your yap and fork them over!",พวกเราคือทีมอควา!\pบอสของเราอยากได้ชิ้นส่วนนั่น!\nหุบปากแล้วส่งมาเดี๋ยวนี้!$,draft_review,\p | \n,,high,high,high,ok,ok,
dlg_636ae9a849ca1131,95,06,slateport,Slateport and Mauville,ไคไนและคินเซ็ตสึ,18,museum,Slateport Museum,พิพิธภัณฑ์ไคไน,18,SlateportCity_OceanicMuseum_2F,museum,SlateportCity OceanicMuseum 2F,5,,SlateportCity_OceanicMuseum_2F_EventScript_CaptStern,data/maps/SlateportCity_OceanicMuseum_2F/scripts.inc,294,SlateportCity_OceanicMuseum_2F_Text_BossGoingToBeFurious,"Oh, man, what a disaster…\nThe BOSS is going to be furious…$","Oh, man, what a disaster…
The BOSS is going to be furious…",โธ่เอ๊ย พังไม่เป็นท่า…\nบอสต้องโกรธจัดแน่…$,draft_review,\n,,high,high,high,ok,ok,
dlg_e8971e4703accf6a,96,06,slateport,Slateport and Mauville,ไคไนและคินเซ็ตสึ,18,museum,Slateport Museum,พิพิธภัณฑ์ไคไน,18,SlateportCity_OceanicMuseum_2F,museum,SlateportCity OceanicMuseum 2F,6,,SlateportCity_OceanicMuseum_2F_EventScript_CaptStern,data/maps/SlateportCity_OceanicMuseum_2F/scripts.inc,298,SlateportCity_OceanicMuseum_2F_Text_LetMeTakeCareOfThis,"Humph, sniveling wimp!\nLet me take care of this!$","Humph, sniveling wimp!
Let me take care of this!",ฮึ เจ้าขี้แพ้ขี้แย!\nให้ฉันจัดการเอง!$,draft_review,\n,,high,high,high,ok,ok,
dlg_aa04df9ea54fa8e8,97,06,slateport,Slateport and Mauville,ไคไนและคินเซ็ตสึ,18,museum,Slateport Museum,พิพิธภัณฑ์ไคไน,18,SlateportCity_OceanicMuseum_2F,museum,SlateportCity OceanicMuseum 2F,7,,SlateportCity_OceanicMuseum_2F_EventScript_CaptStern,data/maps/SlateportCity_OceanicMuseum_2F/scripts.inc,306,SlateportCity_OceanicMuseum_2F_Text_MeddlingKid,"Now what? If we don't get the parts,\nwe're in for it!\pArrgh, I didn't count on being meddled\nwith by some meddling kid!$","Now what? If we don't get the parts,
we're in for it!
[PAGE]
Arrgh, I didn't count on being meddled
with by some meddling kid!",เอาไงดี? ถ้าไม่ได้ชิ้นส่วนกลับไป\nพวกเราแย่แน่!\pกรอด ไม่คิดเลยว่าจะถูก\nเด็กจุ้นจ้านมาขวางงาน!$,draft_review,\n | \p | \n,,high,high,high,ok,ok,LINEBREAK_ADJUSTED
dlg_f04999e65407c9f5,98,06,slateport,Slateport and Mauville,ไคไนและคินเซ็ตสึ,18,museum,Slateport Museum,พิพิธภัณฑ์ไคไน,18,SlateportCity_OceanicMuseum_2F,museum,SlateportCity OceanicMuseum 2F,8,,SlateportCity_OceanicMuseum_2F_EventScript_CaptStern,data/maps/SlateportCity_OceanicMuseum_2F/scripts.inc,312,SlateportCity_OceanicMuseum_2F_Text_CameToSeeWhatsTakingSoLong,"I came to see what was taking so\nlong to snatch some parts, and you\lsimps are held up by a mere child?$","I came to see what was taking so
long to snatch some parts, and you
simps are held up by a mere child?",ฉันมาดูว่าทำไมแค่ชิงชิ้นส่วน\nถึงใช้เวลานานนัก แล้วพวกแก\lกลับติดแหง็กเพราะเด็กคนเดียวเรอะ?$,draft_review,\n | \l,,high,high,high,ok,ok,LINEBREAK_ADJUSTED
dlg_6e3b14603f596d92,99,06,slateport,Slateport and Mauville,ไคไนและคินเซ็ตสึ,18,museum,Slateport Museum,พิพิธภัณฑ์ไคไน,18,SlateportCity_OceanicMuseum_2F,museum,SlateportCity OceanicMuseum 2F,9,Archie,SlateportCity_OceanicMuseum_2F_EventScript_CaptStern,data/maps/SlateportCity_OceanicMuseum_2F/scripts.inc,317,SlateportCity_OceanicMuseum_2F_Text_ArchieWarning,"We are TEAM AQUA,\nand we love the sea!\pAnd I am TEAM AQUA's leader,\nARCHIE!\pWhat makes you interfere with us?\p…No! You can't be!\nYou're not one of TEAM MAGMA?\pWait, that can't be right.\nYou're not dressed for the part.\p… … … … … …\n… … … … … …\pPOKéMON, people… All life depends on\nthe sea.\pSo, TEAM AQUA is dedicated to\nthe expansion of the sea.\pDon't you agree? What we are doing\nis a magnificent undertaking.\pAh, fine…\nYou're still too young to understand\lour noble objective.\pBut, I warn you, don't even consider\ninterfering with our plans again.\pThe consequences will cost you\ndearly!\pAnd don't you forget it!$","We are TEAM AQUA,
and we love the sea!
[PAGE]
And I am TEAM AQUA's leader,
ARCHIE!
[PAGE]
What makes you interfere with us?
[PAGE]
…No! You can't be!
You're not one of TEAM MAGMA?
[PAGE]
Wait, that can't be right.
You're not dressed for the part.
[PAGE]
… … … … … …
… … … … … …
[PAGE]
POKéMON, people… All life depends on
the sea.
[PAGE]
So, TEAM AQUA is dedicated to
the expansion of the sea.
[PAGE]
Don't you agree? What we are doing
is a magnificent undertaking.
[PAGE]
Ah, fine…
You're still too young to understand
our noble objective.
[PAGE]
But, I warn you, don't even consider
interfering with our plans again.
[PAGE]
The consequences will cost you
dearly!
[PAGE]
And don't you forget it!",พวกเราคือทีมอควา\nผู้รักท้องทะเล!\pและฉันคือหัวหน้าทีมอควา\nอาโอกิริ!\pทำไมแกถึงมาขวางพวกเรา?\p…ไม่! หรือว่าแก!\nแกไม่ใช่พวกทีมแมกมาหรือ?\pเดี๋ยวสิ ไม่น่าใช่\nแต่งตัวไม่เหมือนพวกมันเลย\p… … … … … …\n… … … … … …\pโปเกมอน มนุษย์… ทุกชีวิตล้วน\nต้องพึ่งพาท้องทะเล\pทีมอควาจึงมุ่งมั่นที่จะ\nขยายผืนทะเล\pไม่เห็นด้วยหรือ? สิ่งที่เราทำ\nคือภารกิจอันยิ่งใหญ่\pเอาเถอะ…\nแกยังเด็กเกินกว่าจะเข้าใจ\lเป้าหมายอันสูงส่งของเรา\pแต่ขอเตือนไว้ อย่าคิด\nขัดขวางแผนของเราอีก\pไม่อย่างนั้นแกจะต้อง\nชดใช้อย่างสาสม!\pจำใส่หัวไว้ด้วย!$,draft_review,\n | \p | \n | \p | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n | \p | \n | \l | \p | \n | \p | \n | \p,,high,high,medium,review,review_long_page,LINEBREAK_ADJUSTED
dlg_9d72999ead10d4fe,100,06,slateport,Slateport and Mauville,ไคไนและคินเซ็ตสึ,18,museum,Slateport Museum,พิพิธภัณฑ์ไคไน,18,SlateportCity_OceanicMuseum_2F,museum,SlateportCity OceanicMuseum 2F,10,,SlateportCity_OceanicMuseum_2F_EventScript_CaptStern,data/maps/SlateportCity_OceanicMuseum_2F/scripts.inc,344,SlateportCity_OceanicMuseum_2F_Text_SternThankYouForSavingUs,"CAPT. STERN: You're…\nAh, okay, you're {PLAYER}{KUN}…\pAnyway, that was a tense situation!\nThank you for saving us!\pOh, yes, I almost forgot that you\neven brought the parts from DEVON!$","CAPT. STERN: You're…
Ah, okay, you're {PLAYER}{KUN}…
[PAGE]
Anyway, that was a tense situation!
Thank you for saving us!
[PAGE]
Oh, yes, I almost forgot that you
even brought the parts from DEVON!",กัปตันคุสโนกิ: คุณคือ…\nอ๋อ เข้าใจแล้ว {PLAYER}{KUN} สินะ…\pเมื่อกี้สถานการณ์คับขันจริง ๆ!\nขอบคุณที่ช่วยพวกเราไว้!\pอ้อ ใช่ ผมเกือบลืมไปเลยว่า\nคุณนำชิ้นส่วนจากเดวอนมาด้วย!$,draft_review,\n | {PLAYER} | {KUN} | \p | \n | \p | \n,{PLAYER},high,high,high,ok,ok,
