id,global_order,chapter_order,chapter_id,chapter_title_en,chapter_title_th,event_order,event_id,event_title_en,event_title_th,map_order,map_name,map_period,location_name,dialogue_order,speaker,script_label,source_file,source_line,source_label,english_raw,english_preview,thai,translation_status,control_codes,placeholders,chronology_confidence,scope_confidence,translation_confidence,term_review,length_review,translation_notes
dlg_6bc82f96214c6653,146,08,badges,Gyms and Weather Institute,ยิมและสถาบันวิจัยสภาพอากาศ,26,weather,Weather Institute,สถาบันวิจัยสภาพอากาศ,26,Route119_WeatherInstitute_1F,weather,Route119 WeatherInstitute 1F,1,,Route119_WeatherInstitute_2F_EventScript_ShellyDefeated,data/maps/Route119_WeatherInstitute_2F/scripts.inc,265,Route119_WeatherInstitute_2F_Text_TeamMagmaJustPassedBy,We have a situation here!\pA TEAM MAGMA mob just passed\nthe WEATHER INSTITUTE.\pThey appear to be headed for\nMT. PYRE!$,"We have a situation here!
[PAGE]
A TEAM MAGMA mob just passed
the WEATHER INSTITUTE.
[PAGE]
They appear to be headed for
MT. PYRE!",เกิดเรื่องใหญ่แล้ว!\pกลุ่มทีมแมกมาเพิ่งผ่าน\nสถาบันวิจัยสภาพอากาศไป\pดูเหมือนพวกมันกำลังมุ่งหน้า\nไปยังภูเขาโอคุริบิ!$,draft_review,\p | \n | \p | \n,,high,high,medium,ok,ok,
dlg_72d579cc12f30a2d,147,08,badges,Gyms and Weather Institute,ยิมและสถาบันวิจัยสภาพอากาศ,26,weather,Weather Institute,สถาบันวิจัยสภาพอากาศ,26,Route119_WeatherInstitute_1F,weather,Route119 WeatherInstitute 1F,2,,Route119_WeatherInstitute_2F_EventScript_ShellyDefeated,data/maps/Route119_WeatherInstitute_2F/scripts.inc,272,Route119_WeatherInstitute_2F_Text_WeHaveToHurryToMtPyre,"What?!\pWe can't waste any more time here!\nWe have to hurry to MT. PYRE, too!\pAhahahaha!\nTEAM MAGMA, just you wait!$","What?!
[PAGE]
We can't waste any more time here!
We have to hurry to MT. PYRE, too!
[PAGE]
Ahahahaha!
TEAM MAGMA, just you wait!",ว่าไงนะ?!\pเราจะเสียเวลาที่นี่ต่อไปไม่ได้!\nต้องรีบไปภูเขาโอคุริเหมือนกัน!\pฮ่า ๆ ๆ ๆ!\nทีมแมกมา คอยดูก็แล้วกัน!$,draft_review,\p | \n | \p | \n,,high,high,medium,ok,ok,
dlg_15b8f87c5174f5d2,148,08,badges,Gyms and Weather Institute,ยิมและสถาบันวิจัยสภาพอากาศ,26,weather,Weather Institute,สถาบันวิจัยสภาพอากาศ,26,Route119_WeatherInstitute_1F,weather,Route119 WeatherInstitute 1F,3,,Route119_WeatherInstitute_2F_EventScript_ReceiveCastform,data/maps/Route119_WeatherInstitute_2F/scripts.inc,279,Route119_WeatherInstitute_2F_Text_ThanksPleaseTakePokemon,"Thanks!\nThanks to you, we're safe!\pIt might be an odd way of thanking you,\nbut take this POKéMON.$","Thanks!
Thanks to you, we're safe!
[PAGE]
It might be an odd way of thanking you,
but take this POKéMON.",ขอบคุณ!\nเพราะคุณ พวกเราจึงปลอดภัย!\pอาจเป็นวิธีขอบคุณที่แปลกหน่อย\nแต่รับโปเกมอนตัวนี้ไปเถอะ$,draft_review,\n | \p | \n,,high,high,high,ok,ok,
dlg_fbfff4949ad6b61d,149,08,badges,Gyms and Weather Institute,ยิมและสถาบันวิจัยสภาพอากาศ,26,weather,Weather Institute,สถาบันวิจัยสภาพอากาศ,26,Route119_WeatherInstitute_1F,weather,Route119 WeatherInstitute 1F,4,,Route119_WeatherInstitute_2F_EventScript_ReceiveCastformParty,data/text/pc_transfer.inc,29,gText_NicknameThisPokemon,Do you want to give a nickname to\nthis {STR_VAR_1}?$,"Do you want to give a nickname to
this {STR_VAR_1}?",อยากตั้งชื่อเล่นให้\n{STR_VAR_1} ตัวนี้ไหม?$,draft_review,\n | {STR_VAR_1},{STR_VAR_1},high,high,high,ok,ok,
dlg_3949d91512dde4d1,150,08,badges,Gyms and Weather Institute,ยิมและสถาบันวิจัยสภาพอากาศ,26,weather,Weather Institute,สถาบันวิจัยสภาพอากาศ,26,Route119_WeatherInstitute_1F,weather,Route119 WeatherInstitute 1F,5,,Route119_WeatherInstitute_2F_EventScript_ReceivedCastformFanfare,data/maps/Route119_WeatherInstitute_2F/scripts.inc,290,Route119_WeatherInstitute_2F_Text_PlayerReceivedCastform,{PLAYER} received CASTFORM!$,{PLAYER} received CASTFORM!,{PLAYER} ได้รับโพวารุน!$,draft_review,{PLAYER},{PLAYER},high,high,high,ok,ok,
dlg_019f94a8aef9ea9b,151,08,badges,Gyms and Weather Institute,ยิมและสถาบันวิจัยสภาพอากาศ,27,route119_rival,Route 119 rival,คู่แข่งบนเส้นทาง 119,27,Route119,route119,Route119,1,May,Route119_EventScript_BattleMay,data/maps/Route119/scripts.inc,477,Route119_Text_MayIntro,MAY: {PLAYER}{KUN}!\nWhere were you? I was looking for you!\pHow much stronger have you gotten?\nLet me check for you!\pReady with your POKéMON?\nOf course you are! Go!$,"MAY: {PLAYER}{KUN}!
Where were you? I was looking for you!
[PAGE]
How much stronger have you gotten?
Let me check for you!
[PAGE]
Ready with your POKéMON?
Of course you are! Go!",ฮารุกะ: {PLAYER}{KUN}!\nไปอยู่ที่ไหนมา? ฉันตามหาตั้งนาน!\pเก่งขึ้นแค่ไหนแล้วนะ?\nขอฉันทดสอบหน่อย!\pโปเกมอนพร้อมแล้วใช่ไหม?\nแน่นอนอยู่แล้ว! ลุยเลย!$,draft_review,{PLAYER} | {KUN} | \n | \p | \n | \p | \n,{PLAYER},high,high,high,ok,ok,
dlg_8f9454ec6b2ac0f0,152,08,badges,Gyms and Weather Institute,ยิมและสถาบันวิจัยสภาพอากาศ,27,route119_rival,Route 119 rival,คู่แข่งบนเส้นทาง 119,27,Route119,route119,Route119,2,May,Route119_EventScript_DefeatedMay,data/maps/Route119/scripts.inc,491,Route119_Text_MayPresentForYou,"MAY: But I had absolutely nothing to\nworry about! Keep it up!\pAnd, here! I have a present for you.$","MAY: But I had absolutely nothing to
worry about! Keep it up!
[PAGE]
And, here! I have a present for you.",ฮารุกะ: แต่ดูแล้วฉันไม่ต้อง\nเป็นห่วงอะไรเลย! พยายามต่อไปนะ!\pแล้วก็นี่! ฉันมีของขวัญให้$,draft_review,\n | \p,,high,high,high,ok,ok,
dlg_6be0ed70a0acd49c,153,08,badges,Gyms and Weather Institute,ยิมและสถาบันวิจัยสภาพอากาศ,27,route119_rival,Route 119 rival,คู่แข่งบนเส้นทาง 119,27,Route119,route119,Route119,3,May,Route119_EventScript_DefeatedMay,data/maps/Route119/scripts.inc,496,Route119_Text_MayExplainFly,"MAY: Use FLY, and your POKéMON will\ninstantly carry you to any town you've\lalready visited.\pBut, to use FLY, you have to get\nthe GYM BADGE from FORTREE CITY.\lThat's important, so don't forget.\pYou should FLY home and visit\nLITTLEROOT for a change.\pI bet your mom's worried about you,\n{PLAYER}{KUN}.\pWell, let's meet again somewhere!$","MAY: Use FLY, and your POKéMON will
instantly carry you to any town you've
already visited.
[PAGE]
But, to use FLY, you have to get
the GYM BADGE from FORTREE CITY.
That's important, so don't forget.
[PAGE]
You should FLY home and visit
LITTLEROOT for a change.
[PAGE]
I bet your mom's worried about you,
{PLAYER}{KUN}.
[PAGE]
Well, let's meet again somewhere!",ฮารุกะ: ถ้าใช้โซระโวโทบุ โปเกมอน\nจะพาเธอไปยังเมืองที่เคยไปมาแล้ว\lได้ในพริบตา\pแต่ถ้าจะใช้โซระโวโทบุ ต้องได้\nยิมแบดจ์จากเมืองฮิวาดามาก่อน\lเรื่องนี้สำคัญ อย่าลืมล่ะ\pลองใช้โซระโวโทบุกลับบ้าน\nไปเยี่ยมเมืองมิโชโระบ้างสิ\pแม่ของเธอคงเป็นห่วงแล้วนะ\n{PLAYER}{KUN}\pไว้พบกันใหม่ที่ไหนสักแห่งนะ!$,draft_review,\n | \l | \p | \n | \l | \p | \n | \p | \n | {PLAYER} | {KUN} | \p,{PLAYER},high,high,high,ok,ok,
dlg_83a72594b4c34bcc,154,08,badges,Gyms and Weather Institute,ยิมและสถาบันวิจัยสภาพอากาศ,27,route119_rival,Route 119 rival,คู่แข่งบนเส้นทาง 119,27,Route119,route119,Route119,4,Brendan,Route119_EventScript_BattleBrendan,data/maps/Route119/scripts.inc,509,Route119_Text_BrendanIntro,"BRENDAN: {PLAYER}! So this is where\nyou've been looking for POKéMON?\pLet me see how good you got.\nI'll test you!\pNow!\nIt's a battle, so battle!$","BRENDAN: {PLAYER}! So this is where
you've been looking for POKéMON?
[PAGE]
Let me see how good you got.
I'll test you!
[PAGE]
Now!
It's a battle, so battle!",ยูคิ: {PLAYER}! ที่นี่เองเหรอ\nที่เธอมาตามหาโปเกมอน?\pขอดูหน่อยว่าเก่งขึ้นแค่ไหน\nฉันจะทดสอบเธอเอง!\pเอาล่ะ!\nต่อสู้กันให้เต็มที่!$,draft_review,{PLAYER} | \n | \p | \n | \p | \n,{PLAYER},high,high,high,ok,ok,
dlg_558729c3a49c4cf8,155,08,badges,Gyms and Weather Institute,ยิมและสถาบันวิจัยสภาพอากาศ,27,route119_rival,Route 119 rival,คู่แข่งบนเส้นทาง 119,27,Route119,route119,Route119,5,Brendan,Route119_EventScript_DefeatedBrendan,data/maps/Route119/scripts.inc,521,Route119_Text_BrendanIllGiveYouThis,"BRENDAN: I'd say you're good enough\nto search for POKéMON anywhere.\pHere, I'll give you this.\nTry it out.$","BRENDAN: I'd say you're good enough
to search for POKéMON anywhere.
[PAGE]
Here, I'll give you this.
Try it out.",ยูคิ: ฝีมือระดับเธอคงไป\nตามหาโปเกมอนที่ไหนก็ได้แล้ว\pนี่ ฉันให้ของชิ้นนี้\nลองใช้ดูสิ$,draft_review,\n | \p | \n,,high,high,high,ok,ok,
